MetaboliteName,SuperClass,Class,SubClass,Level5,Level6,Level7
petunidin_3-glucoside,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Anthocyanins,Anthocyanidin-3-O-glycosides
5-(hydroxymethyl-2-furoyl)glycine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,N-acyl-alpha amino acids and derivatives
cyclamate,Organic acids and derivatives,Sulfamic acid derivatives,Cyclamates,NA,NA,NA
tyrosol_glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
urolithin_c,Phenylpropanoids and polyketides,Coumarins and derivatives,NA,NA,NA,NA
dihydroresveratrol,Phenylpropanoids and polyketides,Stilbenes,NA,NA,NA,NA
formononetin,Phenylpropanoids and polyketides,Isoflavonoids,O-methylated isoflavonoids,4'-O-methylated isoflavonoids,4'-O-methylisoflavones,NA
"3,7-dimethyluric_acid",Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
"4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric_acid_3'-sulfate",Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Sulfated fatty acids,NA,NA
trans-piceid,Phenylpropanoids and polyketides,Stilbenes,Stilbene glycosides,NA,NA,NA
"2,4-dihydroxybenzoic_acid_4-glucuronide",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
enterolactone,"Lignans, neolignans and related compounds",Furanoid lignans,Tetrahydrofuran lignans,"9,9'-epoxylignans",Dibenzylbutyrolactone lignans,NA
homovanillic_acid_4-sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
3-hydroxybenzaldehyde,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Aldehydes,Aryl-aldehydes,Benzaldehydes
"3,4-dihydroxybenzaldehyde",Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Aldehydes,Aryl-aldehydes,Benzaldehydes
catechol_glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
s-methylcysteine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Cysteine and derivatives
sulforaphane-n-acetyl-cysteine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,N-acyl-alpha amino acids and derivatives
4-hydroxyphenylacetic_acid_sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
"3-(3,5-dihydroxyphenyl)propionic_acid_glucuronide",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
3-hydroxybenzoic_acid,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,NA,NA
3-methylgallic_acid_5-glucuronide,Phenylpropanoids and polyketides,Tannins,Hydrolyzable tannins,NA,NA,NA
phytic_acid,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives,Cyclitols and derivatives,Inositol phosphates
luteolin,Phenylpropanoids and polyketides,Flavonoids,Flavones,NA,NA,NA
3-(3-hydroxyphenyl)propionic_acid_sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
"3-(3,5-dihydroxyphenyl)propionic_acid",Phenylpropanoids and polyketides,Phenylpropanoic acids,NA,NA,NA,NA
p-cresol,Benzenoids,Phenols,Cresols,Para cresols,NA,NA
ethyl_glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives,Glucuronic acid derivatives,Glucuronides
kaempferol,Phenylpropanoids and polyketides,Flavonoids,Flavones,Flavonols,NA,NA
isorhamnetin,Phenylpropanoids and polyketides,Flavonoids,Flavones,Flavonols,NA,NA
eicosapentaenoic_acid,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA
apigenin_7-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,Flavonoid-7-O-glucuronides
rumenic_acid,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,NA,NA,NA
n-(2-hydroxyphenyl)acetamide_sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
"4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric_acid",Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,NA,NA,NA
3-methylhistidine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Histidine and derivatives
luteolin_3'-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,NA
