Entity,Type,Superclass(es),http://purl.obolibrary.org/obo/FOBI_00422,http://purl.obolibrary.org/obo/FOBI_00423,http://purl.obolibrary.org/obo/FOBI_00424,http://purl.obolibrary.org/obo/FOBI_00425,http://purl.obolibrary.org/obo/FOBI_040232,http://purl.obolibrary.org/obo/FOBI_040233,http://purl.obolibrary.org/obo/FOBI_040235,http://purl.obolibrary.org/obo/FOBI_040236,http://purl.obolibrary.org/obo/FOBI_040237,http://purl.obolibrary.org/obo/FOBI_040238,http://purl.obolibrary.org/obo/FOBI_043480,http://purl.obolibrary.org/obo/IAO_0000114,http://purl.obolibrary.org/obo/IAO_0000115,http://purl.obolibrary.org/obo/IAO_0000118,http://purl.obolibrary.org/obo/IAO_0000119,http://purl.obolibrary.org/obo/IAO_0000412,http://www.geneontology.org/formats/oboInOwl#hasOBOFormatVersion,http://www.w3.org/2000/01/rdf-schema#label,
http://purl.obolibrary.org/obo/FOODON_00003258,Class,http://purl.obolibrary.org/obo/FOODON_00001014,,,,,,,,,,,"'FOBI:07537'","'http://purl.obolibrary.org/obo/IAO_0000122'","'Yogurt that has been strained to remove most of its whey, resulting in a thicker consistency than unstrained yogurt, while preserving yogurt's distinctive sour taste. Like many types of yogurt, strained yogurt is often made from milk that has been enriched by boiling off some of its water content, or by adding extra butterfat and powdered milk. In Europe and North America, it is often made from low-fat or fat-free milk.'","'greek yogurt'","'https://en.wikipedia.org/wiki/Strained_yogurt'","'http://purl.obolibrary.org/obo/foodon.owl'",,"'strained yogurt'",
http://purl.obolibrary.org/obo/FOODON_00003259,Class,http://purl.obolibrary.org/obo/FOODON_03304006,,,"'butter'	''cow milk (fluid)''	'flour'",,,,,,,,"'FOBI:007934'","'http://purl.obolibrary.org/obo/IAO_0000122'","'A sauce made from a white roux (butter and flour) and milk.'","'bechamel'","'https://en.wikipedia.org/wiki/B%C3%A9chamel_sauce'","'http://purl.obolibrary.org/obo/foodon.owl'",,"'Béchamel sauce'",
http://purl.obolibrary.org/obo/FOODON_00003260,Class,http://purl.obolibrary.org/obo/FOBI_040223,,,"'chicken'	'spice'	''tomato (whole, raw)''	''onion (whole, raw)''",,,,,,,,"'FOBI:07539'","'http://purl.obolibrary.org/obo/IAO_0000122'","'https://en.wikipedia.org/wiki/Chicken_curry'	'A dish originating from the Indian subcontinent, consisting of chicken stewed in an onion- and tomato-based sauce, flavoured with curry powder and or ginger, garlic, tomato puree, chilli peppers, turmeric, cumin, coriander, cinnamon, cardamom etc.'",,,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'chicken curry'",
http://purl.obolibrary.org/obo/FOODON_00003261,Class,http://purl.obolibrary.org/obo/FOBI_040223,,,"''vegetable food product''	''meat food product''	''potato (whole, raw)''",,,,,,,,"'FOBI:007933'","'http://purl.obolibrary.org/obo/IAO_0000122'","'A dish of ground meat covered with mashed potatoes and baked, similar to the British dish shepherd's pie.'",,"'https://en.wikipedia.org/wiki/Hachis_Parmentier'","'http://purl.obolibrary.org/obo/foodon.owl'",,"'hachis parmentier'",
http://purl.obolibrary.org/obo/FOODON_00003263,Class,http://purl.obolibrary.org/obo/FOBI_040222,,,"''vegetable oil''	''cheese food product''",,,,,,,,"'FOBI:007932'","'http://purl.obolibrary.org/obo/IAO_0000122'","'A regional dish of Savoyard gastronomy based on processed cheese and bread. It is prepared from cheesaes such as the mountain county , Beaufort , Gruyère de Savoie , Emmental of Savoy.'",,"'https://fr.wikipedia.org/wiki/Fondue_savoyarde'","'http://purl.obolibrary.org/obo/foodon.owl'",,"'fondue savoyarde'",
http://purl.obolibrary.org/obo/FOODON_00003264,Class,http://purl.obolibrary.org/obo/FOBI_040223,,,"''vegetable oil''	''meat food product''",,,,,,,,"'FOBI:007931'",,"'A dish of beef dipped in fondue, originating in Switzerland.'","'fondue bourguignonne'","'https://fr.wikipedia.org/wiki/Fondue_bourguignonne'","'http://purl.obolibrary.org/obo/foodon.owl'",,"'Burgundy fondue'",
http://purl.obolibrary.org/obo/FOODON_00003265,Class,http://purl.obolibrary.org/obo/FOODON_00002664,,,,,,,,,,,"'FOBI:0037'","'http://purl.obolibrary.org/obo/IAO_0000122'","'Fat (in the strict sense) specifically refers to lipids that are solids at room temperature.'","'Fats'","'https://en.wikipedia.org/wiki/Fat'","'http://purl.obolibrary.org/obo/foodon.owl'",,"'fat'",
http://purl.obolibrary.org/obo/FOODON_00003266,Class,http://purl.obolibrary.org/obo/FOODON_00001057,,,,,,,,,,,"'FOBI:0074'","'http://purl.obolibrary.org/obo/IAO_0000122'",,"'figs'",,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'fig (whole)'",
http://purl.obolibrary.org/obo/FOODON_00003267,Class,http://purl.obolibrary.org/obo/FOBI_0001,,,,,,,,,,,"'FOBI:07560'","'http://purl.obolibrary.org/obo/IAO_0000122'","'An additive used to modify flavour'","'Flavoring agents'","'https://en.wikipedia.org/wiki/Flavor'","'http://purl.obolibrary.org/obo/foodon.owl'",,"'flavouring additive'",
http://purl.obolibrary.org/obo/FOODON_00003268,Class,http://purl.obolibrary.org/obo/FOBI_040223,,,"''cheese food product''	'pancetta'	'pasta'",,,,,,,,"'FOBI:007941'","'http://purl.obolibrary.org/obo/IAO_0000122'","'A tartiflette except that small squares of pasta, crozets de Savoie (usually made from buckwheat but sometimes durum) are used instead of potatoes.'",,"'https://en.wikipedia.org/wiki/Tartiflette'","'http://purl.obolibrary.org/obo/foodon.owl'",,"'croziflette'",
